hour,4,8,10,11
00:00,35.94,37.73,38.94,40.54
01:00,36.58,38.44,39.9,41.62
02:00,37.09,38.97,40.48,42.24
03:00,37.54,39.42,40.97,42.75
04:00,37.84,39.7,41.15,42.87
05:00,37.92,39.71,40.9,42.49
06:00,36.55,37.79,36.96,37.51
07:00,35.55,36.6,35.05,35.23
08:00,35.43,36.61,35.55,35.98
09:00,35.21,36.45,35.62,36.17
10:00,35.2,36.56,36.17,36.94
11:00,34.62,35.86,35.03,35.58
12:00,34.26,35.47,34.55,35.05
13:00,34.11,35.38,34.64,35.23
14:00,34.15,35.51,35.11,35.88
15:00,34.28,35.75,35.75,36.73
16:00,33.72,35.02,34.41,35.07
17:00,33.37,34.61,33.78,34.32
18:00,32.81,33.92,32.63,32.93
19:00,31.97,32.87,30.81,30.72
20:00,32.92,34.1,33.04,33.47
21:00,33.69,35.05,34.65,35.42
22:00,34.59,36.15,36.51,37.68
23:00,35.45,37.18,38.16,39.64
00:00,36.08,37.87,39.08,40.68
